Title,Year,Age Restrictions,Run Time,Genres,Plot,Ratings,Director,Writers,Actors,Runtime (minutes)
Captain Marvel,2019,PG-13,2h 3m,Action Adventure Sci-Fi,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.,6.8,Anna BodenRyan Fleck,Anna BodenRyan FleckGeneva Robertson-Dworet,Anna BodenRyan FleckGeneva Robertson-Dworet,123.0
Fair Play,2023,R,1h 53m,Drama Mystery Thriller,"An unexpected promotion at a cutthroat hedge fund pushes a young couple's relationship to the brink, threatening to unravel far more than their recent engagement.",6.4,Chloe Domont,Chloe Domont,Phoebe DynevorAlden EhrenreichEddie Marsan,113.0
Guardians of the Galaxy Vol. 3,2023,PG-13,2h 30m,Action Adventure Comedy,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",7.9,James Gunn,James GunnJim StarlinStan Lee,James GunnJim StarlinStan Lee,150.0
Elemental,2023,PG,1h 41m,Animation Adventure Comedy,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",7.0,Peter Sohn,John HobergKat LikkelBrenda Hsueh,John HobergKat LikkelBrenda Hsueh,101.0
The Super Mario Bros. Movie,2023,PG,1h 32m,Animation Adventure Comedy,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",7.1,Aaron HorvathMichael JelenicPierre Leduc,Matthew Fogel,Aaron HorvathMichael JelenicPierre Leduc,92.0
Inside Out,2015,PG,1h 35m,Animation Adventure Comedy,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust, and Sadness - conflict on how best to navigate a new city, house, and school.",8.1,Pete DocterRonnie Del Carmen,Pete DocterRonnie Del CarmenMeg LeFauve,Pete DocterRonnie Del CarmenMeg LeFauve,95.0
Scott Pilgrim vs. the World,2010,PG-13,1h 52m,Action Comedy Fantasy,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart.",7.5,Edgar Wright,Michael BacallEdgar WrightBryan Lee O'Malley,Michael CeraMary Elizabeth WinsteadKieran Culkin,112.0
Fingernails,2023,R,1h 53m,Drama Romance Sci-Fi,"Anna and Ryan have found true love, and it's proven by a controversial new technology. There's just one problem, as Anna still isn't sure. Then she takes a position at a love testing institute and meets Amir.",5.9,Christos Nikou,Christos NikouSam SteinerStavros Raptis,Jessie BuckleyRiz AhmedJeremy Allen White,113.0
Mean Girls,2004,PG-13,1h 37m,Comedy,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",7.1,Mark Waters,Rosalind WisemanTina Fey,Lindsay LohanJonathan BennettRachel McAdams,97.0
BlackBerry,2023,R,2h,Biography Comedy Drama,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,7.4,Matt Johnson,Jacquie McNishSean SilcoffMatt Johnson,Jacquie McNishSean SilcoffMatt Johnson,
